Initial_Price,Final_Price,Win_Flag,Mac_Flag,Linux_Flag,Positive_Reviews,Negative_Reviews,Memory_MB,Storage_MB,target
52.0,52.0,True,True,False,57.0,7.0,1024,50,1
0.0,0.0,True,True,False,53.0,6.0,2048,3072,1
0.0,0.0,True,False,False,133.0,69.0,2048,100,0
530.0,530.0,True,False,False,22.0,9.0,2048,500,0
229.0,229.0,True,True,True,226.0,44.0,2048,1500,1
0.0,0.0,True,False,False,705.0,365.0,4096,3072,0
200.0,200.0,True,True,True,49.0,12.0,512,200,1
610.0,610.0,True,False,False,343.0,35.0,1024,1024,1
349.0,349.0,True,False,False,20.0,1.0,256,315,1
400.0,400.0,True,True,True,2158.0,126.0,1024,470,1
559.0,559.0,True,True,True,59.0,31.0,2048,2250,0
52.0,52.0,True,False,False,37.0,34.0,512,200,0
1099.0,1099.0,True,True,True,1554.0,422.0,4096,35840,1
149.0,149.0,True,False,False,2560.0,491.0,4000,3072,1
369.0,369.0,True,False,False,37.0,22.0,4096,800,0
319.0,319.0,True,False,False,18.0,55.0,512,1024,0
155.0,155.0,True,True,False,44.0,7.0,2,400,1
85.0,85.0,True,False,False,24.0,5.0,2048,330,1
260.0,260.0,True,False,False,23.0,20.0,1024,128,0
42.0,42.0,True,False,False,21.0,9.0,1024,180,1
42.0,42.0,True,True,True,15.0,11.0,2048,500,0
299.0,299.0,True,False,False,18.0,8.0,1024,500,1
85.0,85.0,True,False,False,35.0,7.0,512,200,1
259.0,259.0,True,True,True,2008.0,849.0,1024,470,1
459.0,459.0,True,False,False,215.0,46.0,8192,1845,1
200.0,80.0,True,True,True,732.0,207.0,1024,500,1
0.0,0.0,True,True,False,154.0,91.0,2048,150,0
2999.0,2999.0,True,False,False,114546.0,28060.0,8192,40960,1
459.0,459.0,True,False,False,62.0,48.0,4096,5120,0
349.0,349.0,True,False,False,12.0,2.0,1536,860,1
0.0,0.0,True,False,False,1539.0,164.0,4096,4096,1
52.0,52.0,True,True,True,71.0,19.0,256,30,1
1299.0,1299.0,True,False,False,173283.0,21026.0,8192,81920,1
200.0,200.0,True,False,False,3.0,19.0,1024,7168,-1
349.0,349.0,True,True,False,9.0,4.0,1024,250,0
1060.0,742.0,True,False,False,357.0,289.0,4096,10240,0
250.0,250.0,True,True,True,22.0,1.0,4096,500,1
699.0,489.0,True,True,False,199.0,27.0,4096,750,1
155.0,155.0,True,True,True,15681.0,464.0,4096,600,1
529.0,529.0,True,False,False,65.0,8.0,4096,6144,1
52.0,52.0,True,False,False,30.0,14.0,8192,5120,1
459.0,459.0,True,False,True,89.0,3.0,2048,2048,1
